id,slug,titolo,lang_current,lang_detected,action
0bc960ae-1565-4df2-a5a0-497e7bbfcf33,prigioniero-di-me-stesso-viaggio-dentro-lautismo,Prigioniero di me stesso - Viaggio dentro l'autismo,it,it,ok_no_change
0bd2d8a5-49cf-4ab4-9007-60ed62be15f9,mirtilla-e-il-capitano,Mirtilla e il Capitano,it,it,ok_no_change
0bdeea89-abb9-4121-a4fe-9308ccc533d6,posso-salutare-la-mamma,"""Posso salutare la mamma?""",it,it,ok_no_change
0bf72438-1e40-40d0-b025-02a9fee74726,questa-e-bella-la-storia-di-rospella,Questa è bella! La storia di Rospella,it,it,ok_no_change
0c1a3fa9-2b11-4ef3-9f87-63f88abca989,sono-graditi-visi-sorridenti-recensione,Sono graditi visi sorridenti - Recensione,it,it,ok_no_change
0c3a2d55-7399-4099-be02-3d5b95a8cc93,dove-ci-sono-io-ce-anche-lui,"Dove ci sono io, c'è anche lui",it,it,ok_no_change
0c4c2103-c876-4997-863f-8b9648d6a86a,e-poi-cosa-ne-sara-di-loro-le-domande-sul-dopo-di-noi,"E poi? Cosa ne sarà di loro? Le domande sul ""dopo di noi""",it,it,ok_no_change
0c57a31a-014f-4ca1-a91e-0bf467b979a7,cinema-di-rivoluzione-e-sperimentazione-alla-berlinale-74,Cinema di rivoluzione e sperimentazione alla Berlinale 74,it,it,ok_no_change
0c7079d5-355d-4a73-a7f8-cbfb445033c9,linterezza-questa-sconosciuta,"L'interezza, questa sconosciuta",it,it,ok_no_change
0c76e00f-8d46-4351-be1b-94bfefd85e03,casa-famiglia-il-tetto,"Casa Famiglia ""Il Tetto""",it,it,ok_no_change
0c8adef1-88c6-4e98-ab95-46167e4c1b05,le-parole-rivoluzionarie-di-papa-francesco,Le parole rivoluzionarie di Papa Francesco,it,it,ok_no_change
0cc34515-c4c7-4bc1-ae5a-2d9a04ed5129,sempre,Sempre,it,it,ok_no_change
0ccfd850-8f78-40ed-9278-7ce04934ab6c,e-pagano-pure,E pagano pure!,it,it,ok_no_change
0ce10120-39e8-493d-8a74-6511d6c3a63c,nuove-famiglie-istruzioni-per-luso,Nuove famiglie: istruzioni per l'uso,it,it,ok_no_change
0cf09074-a625-4258-b293-2b6cde43d6ae,come-progettare-una-comunita,Come progettare una comunità,it,it,ok_no_change
